u_id,i_id,rating
0,0,5.0
0,2,5.0
0,4,5.0
0,7,5.0
0,17,5.0
0,41,5.0
1,0,5.0
2,0,5.0
2,43,5.0
2,156,3.0
3,0,5.0
3,92,5.0
4,0,5.0
5,0,5.0
6,0,5.0
6,43,5.0
6,154,5.0
7,0,4.0
7,5,3.0
7,14,5.0
8,0,4.0
8,2,5.0
8,5,5.0
8,10,4.0
8,12,5.0
8,13,4.0
8,14,5.0
8,15,5.0
8,17,5.0
8,39,5.0
8,41,5.0
8,43,5.0
8,83,5.0
8,91,3.0
8,189,5.0
8,195,3.0
8,414,5.0
9,0,5.0
10,0,5.0
10,10,5.0
11,0,5.0
11,10,5.0
11,27,5.0
11,80,5.0
12,0,5.0
13,0,5.0
13,5,5.0
13,7,5.0
13,10,4.0
13,15,4.0
13,17,5.0
13,21,5.0
13,39,5.0
13,41,5.0
13,52,4.0
13,57,5.0
13,59,3.0
13,83,5.0
13,112,5.0
13,134,3.0
13,145,5.0
13,173,3.0
13,189,4.0
13,241,4.0
13,292,5.0
13,313,3.0
13,546,4.0
14,0,1.0
15,0,5.0
15,4,5.0
15,5,5.0
15,14,4.0
15,21,4.0
15,27,4.0
15,43,5.0
15,83,3.0
15,91,4.0
15,156,3.0
15,189,5.0
15,239,4.0
15,374,5.0
16,0,5.0
16,2,5.0
16,3,5.0
16,80,5.0
17,0,5.0
17,4,5.0
18,0,5.0
18,4,5.0
18,5,5.0
18,10,5.0
18,21,5.0
18,41,5.0
18,79,5.0
18,83,5.0
18,110,5.0
19,0,5.0
19,5,5.0
19,7,5.0
19,13,4.0
19,17,4.0
19,21,4.0
19,27,4.0
19,57,4.0
19,80,5.0
19,83,5.0
19,91,5.0
19,101,4.0
19,145,5.0
20,0,5.0
20,2,5.0
20,3,5.0
20,4,5.0
20,6,5.0
20,7,5.0
20,8,5.0
20,12,5.0
20,21,4.0
20,41,5.0
20,56,5.0
20,177,5.0
20,180,5.0
20,231,5.0
20,239,5.0
20,260,5.0
20,311,3.0
20,504,5.0
20,682,3.0
21,0,4.0
21,13,4.0
21,18,4.0
21,41,5.0
21,43,4.0
22,0,4.0
22,7,4.0
22,10,5.0
22,21,5.0
22,41,4.0
22,585,4.0
23,0,4.0
23,3,5.0
23,12,4.0
23,18,5.0
24,0,5.0
25,0,3.0
25,2,5.0
25,21,5.0
25,91,5.0
25,156,5.0
26,0,5.0
26,2,5.0
26,5,5.0
26,14,5.0
26,27,4.0
26,145,3.0
26,428,2.0
27,0,5.0
27,196,5.0
28,0,5.0
28,65,5.0
29,0,5.0
29,12,5.0
29,13,5.0
29,21,5.0
29,41,5.0
29,91,5.0
30,0,5.0
30,41,5.0
30,184,4.0
31,0,5.0
31,251,5.0
32,0,5.0
33,0,5.0
34,0,1.0
35,0,5.0
36,0,5.0
37,0,5.0
37,43,4.0
38,0,5.0
39,0,4.0
39,80,5.0
40,0,5.0
40,49,5.0
40,92,5.0
41,0,5.0
41,5,5.0
41,41,5.0
42,0,5.0
42,5,5.0
42,43,5.0
43,0,5.0
44,0,5.0
44,2,5.0
44,5,5.0
44,43,4.0
45,0,5.0
45,4,5.0
45,43,5.0
46,0,4.0
47,0,5.0
47,12,5.0
48,0,5.0
48,4,5.0
48,21,5.0
